video_id	categoryId	trending_date	view_count	comment_count
iogcY_4xGjo	24	22.24.10	30594206	73054
wf8YefPNZfw	23	22.24.10	10352871	151
S_CUEOBZ0P4	24	22.24.10	6797099	10187
Dn_noN00sPo	20	22.24.10	5729854	22638
CqN3xSLZSIg	23	22.24.10	5579071	679
jSAtdcvyUUs	24	22.24.10	4452742	16374
8bTLq9QHtuQ	1	22.24.10	4244452	2727
Zm0LjUBZyUY	20	22.24.10	4116533	14297
vuIfpDujng4	23	22.24.10	3968135	2794
klG_itC5ROw	17	22.24.10	3518450	2522
fC7Z9U4LFSc	17	22.24.10	3469566	5411
GmE2h4dTWGw	17	22.24.10	3119454	10218
eAp04PARE6A	24	22.24.10	2715947	265
POw42MG8nDg	17	22.24.10	2671448	406
Vcfqs9OUg8Q	22	22.24.10	2524449	4386
fqMBmuXt2bA	22	22.24.10	2339180	5141
W-nckl81OX8	25	22.24.10	1977576	4358
exYSNKVw_sk	17	22.24.10	1972161	767
lqKv8PZccbM	17	22.24.10	1890294	4334
n6bMXsQ7DVo	22	22.24.10	1869063	10408
yQM2Njmjui4	22	22.24.10	1772401	14956
eDjyuTpCONQ	17	22.24.10	1699880	438
DN2dgObTIGI	20	22.24.10	1685771	7566
QrJoudpWyC4	20	22.24.10	1674225	11599
TkDM_1qkE6c	20	22.24.10	1566069	8627
7ipoOwru4XA	20	22.24.10	1537631	7641
l0zabYThh8I	17	22.24.10	1517984	7035
9LquS74ivuY	19	22.24.10	1500408	21060
merEgpJMrbY	24	22.24.10	1443348	3174
Y6xBxUNocSo	26	22.24.10	1437425	94
3ydG5NWGUHQ	24	22.24.10	1307670	3338
UZsdTlaubgM	25	22.24.10	1305057	6379
cr3a2orZzzc	17	22.24.10	1257032	2051
rPiC5NlKb8Q	23	22.24.10	1247584	786
cJzVRy_SajU	20	22.24.10	1241179	0
OxUUE-7WsHQ	17	22.24.10	1103362	3092
psY-XKq8dY4	23	22.24.10	1086613	2511
jm4RLgKcSV4	17	22.24.10	1061779	1798
M2rc4YEDE_c	23	22.24.10	991457	1879
dzXjpz6hGjg	24	22.24.10	891670	884
wmqp15Y9YBY	24	22.24.10	882680	1697
9Pk2RZk7rQg	24	22.24.10	872634	2616
0zkPErmry1I	25	22.24.10	827271	1542
Th-_zpULrfc	25	22.24.10	824519	2769
g1rKSOGvkkA	22	22.24.10	820038	1234
P0Ro3cZ_2Wc	24	22.24.10	813614	3093
IzHsrIOskuQ	25	22.24.10	761111	2736
pFrrJfGLTvQ	17	22.24.10	739290	1411
ev0U7nmcjuM	25	22.24.10	735179	2874
Exgymol-_9s	17	22.24.10	734528	2203
EM0gGMNjfVw	24	22.24.10	707566	202
VD7CK2hKt8k	20	22.24.10	703652	4534
2hseHUnZ-ho	25	22.24.10	655195	1815
MFnj0FGQeWA	22	22.24.10	652278	6173
Y46J5VnCqnQ	25	22.24.10	614728	1484
z5wAthX18Cw	29	22.24.10	607281	493
RDBmVZkC6qc	17	22.24.10	606240	1307
2FBdBm-x0R8	17	22.24.10	593995	1614
2yXoZ5qTLPE	17	22.24.10	591487	1711
mdHFttVHFPs	20	22.24.10	548464	2948
FhQ2KOpYSW8	22	22.24.10	523881	53
Y8uWaq_Q8vU	22	22.24.10	522022	2609
jCo2cY_KK9c	17	22.24.10	515882	1607
rtV2NgnQjmc	20	22.24.10	511062	181
WuHR_76X7tc	19	22.24.10	486171	1959
keHCOSa5upI	23	22.24.10	463400	1224
gWRyygAvq1o	24	22.24.10	441855	674
vv7rCc2yeU0	23	22.24.10	431004	1455
WLjaMfo-pWY	24	22.24.10	423671	514
gWuAUczA87s	24	22.24.10	415797	2097
t0zGemP_lnU	1	22.24.10	413090	84
Jsh4_5g9cxo	22	22.24.10	400035	73
M1f5BeHgIGY	24	22.24.10	394809	2074
oknzZ3Egpno	17	22.24.10	394107	1254
p1gPVMjOj70	1	22.24.10	386199	399
ncDyfBmRipQ	20	22.24.10	385842	2578
-BthJrSVRWw	20	22.24.10	363369	3791
D30FoyQ-EvM	20	22.24.10	360701	1363
T1INW-bCUfE	22	22.24.10	334271	304
gYmEFDERLsw	17	22.24.10	327096	546
OfrSHjl5urg	10	22.24.10	324186	348
_Y9eKhL0EDg	22	22.24.10	311971	25
2I-YaFFqzrc	2	22.24.10	310485	826
jPTeFvB22zg	10	22.24.10	303090	1060
24MleQFiwtk	10	22.24.10	297103	2382
nQxM5gYdX9w	10	22.24.10	293569	1626
_Ww3BUGfNCc	17	22.24.10	287865	614
5GjXVts0Ucw	22	22.24.10	265209	892
MAOfNF2IxRs	20	22.24.10	262049	660
vz7_2zHzQ8w	24	22.24.10	261396	1233
u5SUjki3wNY	24	22.24.10	258353	48
nZB1tHwg1_s	24	22.24.10	252273	2120
qtMJKXPaJFg	2	22.24.10	249693	900
61ez0ZLKFus	1	22.24.10	240526	105
MsUFEwKGzfg	22	22.24.10	236196	1658
